Bill_no.,Status
"('Permit out of state residents to obtain West Virginia concealed carry permits',)"
"('To extend the Neighborhood Investment Program Act to July 1, 2026',)"
"('Relating to criminal justice training regarding autistic persons',)"
"('Expiring funds from the WV Board of Examiners for Registered Professional Nurses and making a supplementary appropriation to the Department of Commerce, Development Office',)"
"('Declaring certain claims to be moral obligations of the State',)"
"('Relating to requiring the Health Department to mandate mucopolysaccharidosis type 1 (MPS1) test for newborn babies, to be known as Embie’s Law',)"
"('Providing EMS workers a retirement benefits tax exemption',)"
"('To allow another round of “buy in” to the old public employees retirement plan for those that didn’t last time',)"
"('To change the due date of the Racetrack Table Game renewal license fee',)"
"('Supplementing and amending the appropriations of public moneys out of the Treasury from the balance of moneys remaining as an unappropriated surplus balance in the State Fund, General Revenue, to the Department of Homeland Security, Division of Emergency Management',)"
"('Supplementing and amending the appropriations of public moneys out of the Treasury from the balance of moneys remaining as an unappropriated surplus balance in the State Fund, General Revenue, to the Department of Commerce, Division of Forestry',)"
"('Expiring funds to the unappropriated surplus balance in the State Fund, General Revenue, for the fiscal year ending June 30, 2021',)"
"('Making Pierpont Community and Technical College a division of Fairmont State University known as the Pierpont College of Community and Technical Education',)"
"('To allow parents to retain their child without losing a year of sports eligibility',)"
"('Relating to pharmaceutical rebates',)"
"('Remove salt from list and definition of “mineral” for severance tax purposes',)"
"('Relating to admissibility of certain evidence in a civil action for damages',)"
"('Relating to the removal of the severance tax on oil and gas produced from low producing oil and natural gas wells',)"
"('Relating to the manner in which actual investment of capital and costs and a natural gas utility’s expedited cost recovery are calculated',)"
"('Local Energy Efficiency Partnership Act',)"
"('Relating to employees of local boards of health',)"
"('Election Security, Access, and Modernization Act of 2021',)"
"('Requiring air conditioning on all school buses',)"
"('Authorize restitution to the state for reimbursement of costs incurred for misuse of public funds',)"
"('Donated Drug Repository Program',)"
"('Solemn Covenant of the States to Award Prizes for Curing Diseases',)"
"('Exempting from the sales tax all-terrain vehicles and utility terrain vehicles used as farm equipment',)"
"('Relating to oversight of syringe exchange programs by the Department of Health and Human Resources',)"
"('Providing adequate opportunities for state employees to obtain continuing education credits for professional licenses and registrations',)"
"('Requiring state purchases of certain items to be made from authorized dealers in this state',)"
"('Exempting buildings or structures utilized exclusively for agricultural purposes from the provisions of the State Building Code',)"
"('Relating to public school education assessment of students for dyslexia and dyscalculia',)"
"('Shifting funding from the Landfill Closure Assistance Fund to local solid waste authorities',)"
"('Define hate crime and make a felony',)"
"('Create an Anti-Bestiality law',)"
"('Firearm Protection Act',)"
"('Providing for the amortization of annual funding deficiencies for municipal police or firefighter pension and relief funds',)"
"('Relating generally to sex trafficking',)"
"('Nursing Program Expansion Pilot Program',)"
"('Protecting political ideas and speech in the hiring process at schools and universities',)"
"('Allow Class A resort licensees under WV ABC to sell wine as a retail server',)"
"('Adding the Curator of the West Virginia Division of Arts, Culture and History as an ex officio voting member of the commission',)"
"('Requiring the construction, development, acquisition or other establishment of an alcohol or drug treatment facility and drug and alcohol treatment services to obtain a certificate of need',)"
"('Allow the establishment of a prescriptive public easement on private property for roads or paths traversed by the public in vehicles over a period of 20 or more years',)"
"('Eliminate the bond required to start an independent daycare business',)"
"('Authorize the ordering of restitution to the state for reimbursement of costs incurred for misuse of public funds, and to create the State Auditor’s Public Integrity and Fraud Fund for use of said funds',)"
"('Establish Recovery Can’t Wait Program',)"
"('Increase state minimum wage',)"
"('Campaign Finance Reform',)"
"('Preventing cities from banning utility companies in city limits',)"
"('Require medical malpractice insurers to establish a separate insurance pool for doctors who conduct abortions',)"
"('Expanding the Manufacturing Investment Tax Credit',)"
"('Stop Social Media Censorship Act',)"
"('A bill dedicating 25% of insurance tax revenue to the PEIA Rainy Day Fund',)"
"('Add hotel occupancy tax to taxes eligible for PILOT agreements under the Tax Increment Financing Act',)"
"('Reinstate WV Prevailing Wage Law',)"
"('Repeal Right-to-Work legislation',)"
"('Establish a Corporate Crime division in the State Police',)"
"('Relating to sunset provisions of legislative rules',)"
"('Relating to distribution of the allowance for increased enrollment',)"
"('Provide for the unitization of interests in drilling units in connection with shallow horizontal oil or gas wells',)"
"('Relating to the West Virginia Municipal Police Officers and Firefighters Retirement System',)"
"('Relating to the Natural Resources Police Officers Retirement System',)"
"('Relating to performance metrics for the West Virginia Division of Highways',)"
"('Prohibiting the placement of the name or likeness of public officials on state road signs',)"
"('Requiring the Commissioner of Highways to develop a formula for allocating road funds among districts',)"
"('Relating to reasonable force in defense of self, real and personal property',)"
"('Requiring that open hunting season for big game begin on a Saturday',)"
"('Relating to medical evaluation reports for workers compensation',)"
"('Relating to the Deputy Sheriff Retirement System Act',)"
"('Relating to the regulation of livestock branding',)"
"('Remove felonies from reason to disqualify from voting',)"
"('Create a Police Officer’s Bill of Rights',)"
"('Establishing the Municipal Home Rule Program',)"
"('To establish Natural Resources Commission appointment criteria and allow for reimbursement of expenses related to discharge of official duties',)"
"('To provide a mechanism to allow for the contributions paid by a member into a retirement plan to be returned to the member’s heirs',)"
"('To remove any mandatory mask mandate in West Virginia',)"
"('Requiring county boards of education to make vocational classes available to private school students of the appropriate grades as space is available.',)"
"('Providing for the compensation of the Cannabis Commissioner',)"
"('Relating to statute of limitations for discrimination',)"
"('Allowing waiver of repayment of overpaid unemployment insurance',)"
"('Extend the current veteran’s business fee waivers to active duty military members and spouses',)"
"('Relating to changes to provider contracts related to health benefit plans and Medicaid managed care plans',)"
"('Modify the five-year waiting period and 100-person minimum for an association health plan, and to allow new flexibility granted under federal rules',)"
"('Expand direct health care agreements beyond primary care to include more medical care services',)"
"('Establishing a task force to study and develop reparation proposals for African-Americans',)"
"('Relating to anti-discrimination protections for independent contractors',)"
"('Modifying the definition of telemedicine and telehealth by individuals with a disability and individuals with a sensory impairment',)"
"('Removing Hepatitis B from the list of required vaccinations',)"
"('Relating to repealing a ban on construction of nuclear power plants',)"
"('To ensure that the WV Judiciary remains neutral and detached in matters related to allocation of custodial responsibility and decision-making responsibility of children',)"
"('To make changes to the FOIA law to protect public utility customer databases from disclosure, with exceptions',)"
"('Requiring DHHR, in the absence of extenuating circumstances, to notify the parents upon the death of a child in foster care',)"
"('Replacing minimum minutes of instructional time required per day with a flexible requirement based upon the completion of classroom or other equivalent work ',)"
"('COVID liability protections for schools',)"
"('Relating to when contentions can be revived based on forensic scientific evidence that was not available at time of conviction',)"
"('Relating to West Virginia Employment Law Worker Classification Act',)"
"('To clarify the regulatory authority of the Public Service Commission of West Virginia over luxury limousine services',)"
"('Creating minimum statutory standards for law-enforcement officers',)"
"('Relating to the West Virginia State Guard and the organization thereof',)"
"('Relating to Economic Opportunity Tax Credit limits',)"
"('Relating to the criminal offense of desecration of graves and vandalizing cemeteries',)"
"('Supplementing and amending the appropriations of public moneys to the Department of Veterans’ Assistance',)"
"('Making a supplementary appropriation to the Department of Health and Human Resources, Division of Human Services',)"
"('Expiring funds to the balance of the Department of Commerce',)"
"('Making a supplementary appropriation to WorkForce West Virginia – Workforce Investment Act',)"
"('Making a supplementary appropriation to the Department of Commerce',)"
"('Expiring funds to the balance of the Department of Education – State Board of Education – School Building Authority – School Construction Fund',)"
"('Making a supplementary appropriation to the Department of Health and Human Resources, Division of Human Services',)"
"('Making a supplementary appropriation to the Public Service Commission',)"
"('Making a supplementary appropriation to the Department of Homeland Security, West Virginia State Police',)"
"('Relating to unlawfully using electronic communication devices while driving',)"
"('Relating to repealing the prohibition against the use of certain words',)"
"('Relating to the School Building Authority’s allocation of money',)"
"('Prohibiting political subdivisions from enacting certain ordinances, regulations, local policies, local resolutions, or other legal requirements',)"
"('Relating to disclosure of information by online marketplaces to inform consumers',)"
"('Updating the criteria used when assessing an application for a new license or other government regulation relating to occupational and professional regulation',)"
"('To modify the allowable number of magistrate judges per county',)"
"('Relating to eligibility verification for applicants for public assistance',)"
"('Relating to cannabis and cannabis product sales, growth, and consumption in this state',)"
"('Social Media Integrity and Anti-Corruption in Elections Act',)"
"('To remove certain ex officio, voting members from the Archives and History Commission and update formatting',)"
"('Relating to public records management and preservation',)"
"('Creating the Semiquincentennial Commission for the celebration of the 250th anniversary of the founding of the United States of America',)"
"('Require anyone participating in high school or middle school sports to play per their biological birth gender',)"
"('Relating to Family Drug Treatment Court',)"
"('Protect privacy of those who store firearms in WV',)"
"('Making a supplementary appropriation to the Department of Health and Human Resources, Division of Health – Laboratory Services Fund',)"
"('Permitting anyone over 65 to vote absentee',)"
"('Adding Security expenses to campaign finance expense',)"
"('Relating to Social Media privacy and educational institutions',)"
"('Relating to unemployment compensation',)"
"('Relating to data disposal protection',)"
"('Relating to the Disconnection of Residential Utility during a State of Emergency ',)"
"('Adding Caregiving expenses to campaign finance expense',)"
"('The purpose of this bill is to permit registered voters to vote an absentee ballot by mail in all circumstances',)"
"('Allowing the Secretary of State’s office to transmit electronically the total ballots cast, counted, and rejected',)"
"('Require the School Improvement Council appoint two members to a Selection Committee ',)"
"('Relating to standardizing the criteria for awarding spousal support',)"
"('Protections for Charitable Organizations',)"
"('Anti-Discrimination Against Israel Act',)"
"('Allow local governments to hold property owners more accountable for upkeep of buildings',)"
"('Limit amount a county tax assessor can increase assessed value of antique or classic cars',)"
"('To permit the Board of Treasury Investments to compensate appointed members for each meeting attended and to eliminate certain outdated and contradictory investment restrictions.',)"
"('Requiring a vote on school closure or consolidation in certain circumstances',)"
"('Reallocate a certain amount of net terminal income from racetrack video lottery distributed to the thoroughbred and greyhound development funds at the licensed racetracks of origin.',)"
"('Clarify “out-of-school” time programs.',)"
"('Making a supplementary appropriation to the Department of Education, State Board of Education – State Department of Education',)"
"('Supplementary appropriation decreasing an existing item and adding a new item of appropriation to the Department of Revenue, Insurance Commissioner',)"
"('Providing tax credits for hiring those in recovery for substance abuse',)"
"('To unseal adoption records after 21 years of age for adoptees for a one time fee of $30 and issuance of an original birth certificate for the common birth certificate fee. ',)"
"('Providing for the registration of lobbyist interns',)"
"('To move back the deadline for a candidate to make a party switch to run in the GOP primary to 6 months before the filing date',)"
"('Second Amendment Sanctuary Act',)"
"('Regarding recording of police interrogations',)"
"('Mandating coverage for medical care of State Police officers injured in the line of duty',)"
"('Providing supplemental education through learning pods',)"
"('Provide the Division of Motor Vehicles authority to develop an “Antique Fleet” program so that multiple antique motor vehicles may utilize a single registration plate',)"
"('Repeal of authority granted to municipalities to levy business and occupation or privilege tax',)"
"('Ensure that persons appointed as guardians ad litem in divorce and child custody and parenting cases are properly trained in certified courses of instruction with curricula grounded in the social science bases for determining the best interests of the child',)"
"('To clarify that counties can hire fire fighters as paid staff and to modify the existing procedures to include a procedure of public hearing to commission a vote',)"
"('Abortion permitted only in certain instances',)"
"('Removing the residency requirement for the Commissioner of the Division of Highways',)"
"('Permit licensed food trucks to operate on the State Capitol Complex during periods in which the Capitol Complex Cafeteria is not operational',)"
"('Relating to the repeal of outdated code sections',)"
"('Relating to repealing outdated sections of state code',)"
"('Relating to the financing of environmental pollution control equipment for coal-fired power plants',)"
"('Eliminating the requirement that the Treasurer publish a full list of unclaimed property in newspapers, and instead require online database',)"
"('Provide protections for employees in legal employment disputes by providing that no employee can be required as a condition of employment to agree to mandatory arbitration',)"
"('Relating generally to dental practice',)"
"('Establish a website for publicly-available archive of all bridge and road naming resolutions',)"
"('Prohibit road signs that include public official’s name and likeness',)"
"('Requiring PEIA, Medicaid and other health insurance providers to cover treatment of pediatric autoimmune neuropsychiatric disorders',)"
"('Make it unlawful for a political subdivision or municipality to pass or enforce an ordinance that would allow feral cats to be trapped and killed',)"
"('Permitting certain felons to work in licensed behavioral health facilities',)"
"('To allow Veterinarian Tele-Health in West Virginia',)"
"('To clarify the procedures for the sale and operation of a municipally owned toll bridge by a private toll transportation facility',)"
"('Raising retirement rate for Deputy Sheriff’s Retirement System',)"
"('Requiring the Department of Commerce to conduct a feasibility study for potential lakes to be built in West Virginia',)"
"('Allowing a person to manufacture a stated amount of alcoholic liquor for personal consumption ',)"
"('To modify the teacher retirement system so that Tier 2 teachers may use annual/sick leave towards retirement',)"
"('To implement a Property Tax Poverty Exemption - School Excess Levy',)"
"('Relating to Well Location Restrictions',)"
"('Allow women to work on inmate road crews',)"
"('Allow guns to be carried on capitol grounds ',)"
"('Gun carry allowed on college campuses ',)"
"('Creating a tax credit for a manufacturer or power generating facility in West Virginia that purchases and uses coal, oil or gas',)"
"('Amend Groundwater Protection Act to cover Karst Terrain',)"
"('Providing veterans with suicide prevention assistance',)"
"('Relating to the Second Chances at Life Act of 2021',)"
"('Permit licensed occupational therapy assistants to work as IDDW agency staff when working under the supervision of licensed occupational therapist.',)"
"('To revise the West Virginia Tax Increment Financing Act to authorize a county commission or municipal levying body to modify the termination times of certain districts',)"
"('Relating to instituting suit to set aside a sheriff sale deed to tender to the circuit clerk of the court funds for redemption',)"
"('Establishing an alternative method for qualified persons to properties sold by tax sales',)"
"('Allowing the purchaser to perform service on one or more persons entitled to notice of redemption from a sheriff sale',)"
"('Establishing causes for revocation, cancellation, or suspension of a business registration certificate',)"
"('Requiring local entities to enforce immigration laws',)"
"('Requiring that any municipality or county commission intending to approve a location for a video lottery retailer must first announce their intention to do so and hold a public hearing',)"
"('Relating to sheriff’s commission for collection of taxes',)"
"('To create the “Tobacco Cessation Initiative Program Special Revenue Account”',)"
"('Allow State Treasurer to charge a monthly penalty to certain spending units',)"
"('Relating to the special community development school pilot program',)"
"('Create two readily identifiable pathways to better prepare high school students for their chosen career path',)"
"('Creating the Independent Redistricting Commission',)"
"('Adding a defense to the civil penalty imposed for a result of delivery of fuel to a state other than the destination state printed on the shipping document for fuel',)"
"('Relating to unlawful discriminatory practices covered by Human Rights Act and Fair Housing Act',)"
"('Relating to property ownership by Farmland Protection Board',)"
"('To allow circuit court judges with at least six years of service to conceal carry if they so desire',)"
"('Creating the Affordable Medicaid Buy-in Program',)"
"('Update road abandonment process',)"
"('Relating to the definition of employer for sexual harassment purposes',)"
"('To create the “Fair Food Delivery Act”',)"
"('Relating to law enforcement warrant for third party information',)"
"('Creating a homeless education coordinator for county schools',)"
"('Create Pilot Program for Remote Workers',)"
"('Prohibit the removal of a state government facility in a small community without an impact study',)"
"('Relating to the publication of county board financial statements',)"
"('To extend the special valuation method for cellular towers to towers owned by persons not subject to regulation by the Board of Public Works',)"
"('Revised Uniform Fiduciary Access to Digital Assets Act\r\n',)"
"('Creating a 529 type tax-deferred savings account for first time homebuyers',)"
"('Provide a state income tax credit for nurses to encourage recruitment and commitment to the profession in this state',)"
"('Relating to limitations on claiming state tax credits and rebates and providing rulemaking authority',)"
"('Creating crime of “high in public”',)"
"('Require utility and cable companies that operate here to have call centers located in WV',)"
"('Remove homeschool testing and portfolio requirements',)"
"('Providing for expungement of domestic violence pretrial diversions',)"
"('Creating the Campus Free Expression Act',)"
"('Require photo identification on all EBT cards',)"
"('To clarify that incomplete claims for refund are not filed and will not start interest accruing',)"
"('The Campus Self Defense Act',)"
"('Places of worship may not be shut down by state of emergency',)"
"('Prohibit abortions based on down syndrome',)"
"('An affirmative defense to violation of a parenting plan is a de facto parenting plan',)"
"('Prohibit businesses from having licenses revoked for not requiring masks',)"
"('End qualified immunity',)"
"('Right to travel bill',)"
"('Relating to Seatbelt Admissibility',)"
"('Relating to gross weight limitations and road restrictions in Greenbrier and Pocahontas Counties',)"
"('Authorizing civil damages for any person who was subject to an intentionally false report made to law enforcement',)"
"('Prohibiting discrimination based on an individual’s mental or physical disability in access to organ transplantation',)"
"('Youth Mental Health Protection Act',)"
"('Sunsetting the Board of Medical Imaging and Radiation Therapy Technicians',)"
"('Sunsetting the Board of Licensed Dieticians',)"
"('Sunsetting the Board of Sanitarians',)"
"('Hearing Enhancement Aid Reimbursement Act (HEAR)',)"
"('Set the age for consent of marriage at 18 years of age',)"
"('Exempting certain hygiene products from sales tax',)"
"('Ensure the health, safety, and welfare of homeless citizens of this state',)"
"('Relating to the minimum wage',)"
"('Reciprocity for inspection stickers on new cars purchased in neighboring states',)"
"('Relating to transport of persons accused of being mentally ill to mental health relating hearings',)"
"('Expanding types of cancers as rebuttable presumption for injuries, diseases for professional firefighters',)"
"('Relating to firefighter disability claims',)"
"('Reduce the number of board members of the Parkways Authority and to appoint board members who are from the counties that are contiguous to the Turnpike.',)"
"('Make WV a Second Amendment Sanctuary State',)"
"('Allow a school district to develop or adopt a program in which the subject of nutrition and exercise education is taught',)"
"('Increase nutrition rates for Senior services',)"
"('Relating to the intestate share of a decedent’s surviving spouse',)"
"('Standardize gas and oil contracts',)"
"('Creating the Interstate Mobility and Universal-Recognition Occupational Licensing Act (the Freedom to Travel Act)',)"
"('Relating to requirements for a registered veterinary nurse',)"
"('Expanding definition of who may apply for grandparent visitation',)"
"('To create the “Council on Efficient Government Act”',)"
"('Increasing the state minimum wage',)"
"('Relating to municipal or county taxation of hotel rooms booked through a market facilitator',)"
"('Relating to the General Revenue Fund',)"
"('Making contract consummation with state more efficient',)"
"('Revise animal cruelty laws relating to chaining and tethering',)"
"('Relating to fees for Veteran License Plates',)"
"('Relating generally to coal fired energy plants and wind power',)"
"('To provide a review and veto process of executive orders by the President.',)"
"('Provide free hunting and fishing licenses for all disabled veterans',)"
"('Eliminate personal property taxes for certain veterans',)"
"('Expand military retirement pay state income tax exemption',)"
"('Raise the homestead exemption to 30,000',)"
"('Exempt 100% disabled combat vets from property tax on primary residence',)"
"('Enhance cooperation between civilian law enforcement and military authorities.',)"
"('Reducing federal taxable income subject to the corporate net income tax for businesses relocating from China to West Virginia',)"
"('Add one additional Magistrate for Putnam County',)"
"('Sunset the Board of Forestry',)"
"('Relating to West Virginia Emergency School Food Act',)"
"('Relating to information on organ and tissue donations',)"
"('Transferring funds remaining in the Racetrack Modernization Fund to the State Road Fund and closing the Racetrack Modernization Fund',)"
"('Eliminating courtesy patrol programs',)"
"('Permit the use of establish federal marketplace programs for the purchases of supplies',)"
"('Relating to powers and duties of the parole board',)"
"('Relating to exempting recovery residences from certain standards',)"
"('Relating to making the Bureau of Behavioral Health the certifying agency for recovery residences',)"
"('Updating the West Virginia Business Corporations Act',)"
"('Stabilizing funding sources for the DEP Division of Air Quality',)"
"('To require a run-off election in certain circumstances',)"
"('Providing commercial discrimination of producers of coal, gas, oil, carbon-based energy, and other products in the State of West Virginia ',)"
"(""Consolidating positions of Inspector General of Workers' Compensation Commission’s Fraud and Abuse Unit and the position of Director of the Insurance Fraud Unit"",)"
"('Exempting motor vehicles from personal property tax',)"
"('Allow teachers to retire earlier from public school system to teach in a public charter school',)"
"('Relating to assessment value of wind turbines',)"
"('Make utility workers essential employees during a state of emergency',)"
"('Ban-the-Box Act',)"
"('Requiring Compliance with Generally Accepted Standards of Care',)"
"('Creating Emergency Healthy Families and Workplaces Act',)"
"('Decoupling active dog racing licenses from racetrack casinos',)"
"('Prohibiting municipalities, counties, or other government entities from using tax payer funds to lobby for their interests',)"
"('To create the ""Protection of Property from Warrantless Searches Act”',)"
"('Requiring county boards of education to publish its sponsored programs and the number of students permitted to participate',)"
"('Create the Corporate Anti-Subsidy Act',)"
"('Prohibit at-will employment and mandate that employees may only be dismissed for cause after completing a probationary period',)"
"(""Relating to grandparents' rights to visit grandchildren"",)"
"('To make exempt from sales tax the purchase of plastic and pewter models used in hobbies such as tabletop strategy or role playing gaming',)"
"('Preserve the constitutional right of West Virginian’s to be free from unlawful automotive searches',)"
"('Requiring Director of transportation to have experience in transportation department',)"
"('Educational Employee Tax Credit',)"
"('Eliminating specific statutory restrictions on outdoor advertisement',)"
"('Increasing salary of Secretary of WV Library Commission',)"
"('To change the hearing requirement for misdemeanors to 10 days',)"
"('Declaring that Post Traumatic Stress Disorder diagnosed by a licensed psychiatrist is a compensable occupational disease for first responders',)"
"('Establish the WV Constitution and the WV Code as the primary law in WV',)"
"('Salary increase for teachers and school service personnel',)"
"('Student Suicide Prevention - ID Cards',)"
"('Supporting Students Who Are Parents Act',)"
"('Requiring Trauma-informed Employee training for employees of Division of Corrections and Rehabilitation',)"
"('Removing certain drugs from schedule 1',)"
"('Direct West Virginia State Board of Education to require proof of vision examination before child is enrolled in public or private school',)"
"('Guarantee Earned Sick Days for every worker',)"
"('Establish an Earned Income Tax Credit',)"
"('Establish technology/remote work tax deduction from state income tax',)"
"('Prohibiting certain noncompete or conflict of interest provisions in employment contracts',)"
"('Relating to access of records in controlled substance monitoring',)"
"('Providing for continuity of medical care for newly-incarcerated people',)"
"('Providing for collection of data regarding police encounters that are not traffic stops',)"
"('Relating to the establishment and operation of regional water, wastewater and stormwater authorities',)"
"('Family Leave Program: Provide paid time off for workers to care for a family member',)"
"('Permit collective bargaining for public employees',)"
"('Mandating that teachers receive supplemental pay for compelled teaching outside of established schedule',)"
"('Public School Protection Act',)"
"('Relating to Public Utilities Audit',)"
"('Relating to carrier fees on 911 fee revenues',)"
"('Relating to the Consumer Price Index rate increase',)"
"('Relating to elimination of sunset provisions concerning towing rates',)"
"('Relating to correcting internal code references and citations',)"
"('Relating to motor carrier inspectors',)"
"('Relating to motor carrier rates',)"
"('Prohibiting public disclosure of restricted information',)"
"('Make gold and silver legal tender in WV',)"
"('Repeal code relating to wagering or betting on elections',)"
"('To accelerate the conversion of the transfer tax on the privilege of transferring real property from a state excise tax to a county excise tax',)"
"('To update the requirements of the state director of health to quarantine and enforce regulations in a specific place ',)"
"('To allow for full-time paid employees of a Volunteer Fire Company to participate in the West Virginia Public Employee Retirement System.',)"
"('Allowing disabled persons to operate small electric vehicles on the Greenbrier Trail',)"
"('Designating February 3 as “Freedom Day,” to memorialize the February 3, 1865 Act by the Legislature that abolished slavery in West Virginia',)"
"('Relating to electric bicycles',)"
"('Prohibit county clerk from charging or prohibiting person from taking pictures of public documents',)"
"('Repeal section relating to circuit courts having limited jurisdiction to hear divorce cases',)"
"('Providing certain exemptions from recovery residence standards for group housing facilities of 50 beds or more',)"
"('Relating to the review of certain executive orders issued by the President of the United States',)"
"('Increasing the tax on the privilege of severing natural gas and oil',)"
"('To create a renewable 2 year state level grant for foster parent screening',)"
"('Revise existing standards and establish the burden of proof imposed on civil litigants seeking to circumvent corporate structure in civil litigation',)"
"('To cap the cost of in-state tuition for West Virginia universities and colleges who receive in state funding',)"
"('To phase out magisterial districts in West Virginia by 2024',)"
"('Exempt interest payments on deposits held less than 18 months',)"
"('Eliminate the WV Fusion Center',)"
"('To restrict what charities candidates may contribute to with excess campaign cash',)"
"('Provide for a raise for private investigators hired by public defender offices or court appointed panel attorneys',)"
"('To ban The Prevalent and Intrusive Chinese Communist Parties Confucius institutions in West Virginia',)"
"('The Forming Open and Robust University Minds (FORUM) Act',)"
"('To codify applicable sections of President Donald J. Trump’s Executive Order 13798: Promoting Free Speech and Religious Liberty into state code.',)"
"('Relating to Consumer Data Privacy',)"
"(""Creating online voters' guide"",)"
"('Relating to online privacy protection for minors',)"
"('Permitting third-party ownership of renewable and alternative energy generating facilities',)"
"('Second Look Sentencing Act',)"
"('Relating generally to kidnapping',)"
"('Creating personal income tax credit for volunteer firefighters',)"
"('Prohibit Department of Corrections and Rehabilitation from making inmates pay co-payment for medical or dental service by a doctor or nurse',)"
"('Access to Rehabilitation Act',)"
"('Creating small business and minority populations economic and workforce development taskforce',)"
"('To provide a new criminal offense of sexual extortion and sexual extortion by a person holding a position of trust, supervisory authority, or disciplinary power over another person',)"
"('Relating to wholesale importation of prescription drugs',)"
"('To provide a fifty percent reduction in fees and charges relating to state parks for West Virginia veterans',)"
"('Require every hospital to have someone available to perform forensic exams ',)"
"('Relating to the addition of the word stalking',)"
"('Require Correctional Facilities to provide free feminine hygiene products',)"
"('Relating to removing certain felonies than can prohibit vehicle salespersons from receiving a license',)"
"('Requiring sharps containers in all state buildings and facilities where the public is allowed',)"
"('Removing expired, outdated, inoperative and antiquated provisions and report requirements in education',)"
"('Suspend state government pay if business is shut down due to a pandemic',)"
"('Limit property tax increases on certain individuals',)"
"('Require all tax assessments be done on a periodic schedule',)"
"('Relating to Public Service Commission and Public Service districts',)"
"('Require insurance companies pay for telemedicine and in-person treatment and evaluation at the same rates',)"
"('Require a lobbyist immediately notify clients in writing about a potential conflict of interest',)"
"('Including workers’ compensation providers in the insurance prior authorization process',)"
"('To allow all licensed hunters in the 4 trophy counties to automatically qualify to use a crossbow, after age 65',)"
"('Relating to PEIA inpatient rates',)"
"('Prohibit parents from being restricted from monitoring virtual public education classrooms',)"
"('Making expungement of records for certain defendants found not guilty or have had charges dismissed to occur without petitioning the court',)"
"('Establishing requirements for confining juveniles in juvenile facilities',)"
"('Allow anyone with a master’s degree to sit for WV Bar exam and become licensed attorney',)"
"('Requiring employers to send certain notifications when retirants are hired as temporary, part-time employees',)"
"('Creating the West Virginia Farm Fresh Dairy Act',)"
"('Relating to obtaining an appropriate gender marker for state documents',)"
"('Relating to Delinquent Property Tax sales',)"
"('To repeal the extra $200 fee for electric vehicle registration and $100 for hybrid vehicle registration',)"
"('Ensuring those citizens qualified for an expungement receive the expungement they are entitled',)"
"('Allow Religious Exemptions for vaccines',)"
"('Establishing a program to facilitate the recovery of areas of the state that have been impacted by the reduction of coal production and consumption',)"
"('To establish gender guidelines for public school restrooms',)"
"('Relating to maintenance and repair of roads and highways',)"
"('Creating the Food Infrastructure Grant',)"
"('To allow public high schools to have full time athletic trainers',)"
"('WV Small Business COVID Relief Act',)"
"('Relating to custodial interrogation of a child',)"
"('Relating to medical marijuana',)"
"('Provide a safe process for organic waste composting',)"
"('Protecting teacher work schedules',)"
"('Relating to establishing a minimum monthly retirement annuity for certain retirants with 25 or more years of credited service',)"
"('Excepting persons previously commissioned as a notary public from requirement to have a high school diploma or its equivalent in order to be recommissioned as a notary public',)"
"('Department of Commerce to assist qualified tourism projects',)"
"('State Police Review Board',)"
"('Establish a system to fund and provide childcare for workers in “essential positions.”',)"
"('Assessing a impact fee on internet sales originating or ending in the state',)"
"('Reallocating and dedicating three percent of oil and gas severance tax revenues to the oil and gas producing counties',)"
"('Amending the requirements to become an elected prosecutor',)"
"('Establish an excess compensation tax on the income of corporate executives under certain circumstances',)"
"('Student Rescue Act',)"
"(""Remove “deliberate intent” exception from workers' comp  "",)"
"('Decoupling horse racing from licensed racetrack casinos',)"
"('Restrictions on Taxpayer funded lobbying',)"
"('To modify the state special education appropriation to counties for special education students who are wards of the state and who require out of state placement',)"
"('Assure West Virginians proper access to water and sewage service at reasonable rates',)"
"('Prohibit state, county, and municipal governments from dedicating or naming any public structure for a public official who is holding office at the time',)"
"('Establish food desert produce pilot program',)"
"('Hunger-Free Campus Act',)"
"('To waive the adoption fee of animals for veterans',)"
"('To provide a means to classify when medications should be continued or stopped for patients',)"
"('To require a new written, phoned, or e-mail prescription order within 72 hours of a prescription change',)"
"('To require all prescribers of medication to include their purpose for prescribing the medication to the patient',)"
"('Prohibiting dangerous materials being placed on highways',)"
"('Public Utilities not required to pay interest on security deposits',)"
"('To establish cultural competency training for teachers obtaining or renewing a teaching license in West Virginia',)"
"('Prohibit electronic ballots',)"
"('Ban civil asset forfeiture unless person convicted',)"
"('To establish the Vegetable Garden Protection Act',)"
"('Relating to pay for Board of Education members',)"
"('Establishing of the West Virginia Public Participation Act',)"
"('Establish Food Waste Task Force',)"
"('Promoting the long term development of a more diversified energy generation and production portfolio in this state',)"
"('Establishing an Earned Income Tax Credit',)"
"('Big Creek Cape Coalwood Commission',)"
"('Exempting law enforcement and emergency vehicles from paying turnpike tolls',)"
"('Relating to deputies transferring to another department within the civil service system',)"
"('To establish a state bank of West Virginia',)"
"('The Protection of All Property from Warrantless Searches Act',)"
"('Protecting Everyone’s Constitutional Rights Act',)"
"('Creating the Katherine Johnson and Dorothy Vaughan Fair Pay Act',)"
"('Eliminating the food handler examination and card',)"
"('Reducing to one year the deadline for right to set aside deed',)"
"('Restricting Public Service Commission from promulgating certain rules',)"
