Bill_no.,Status,Doc_name,Doc _url
HB 2887,Pending,COVID liability protections for schools,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2887 INTR.pdf
HB 2888,Signed,Relating to when contentions can be revived based on forensic scientific evidence that was not available at time of conviction,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2888 ENR.pdf
HB 2889,Pending,Relating to West Virginia Employment Law Worker Classification Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2889 INTR.pdf
HB 2890,Signed,To clarify the regulatory authority of the Public Service Commission of West Virginia over luxury limousine services,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2890 SUB ENR.pdf
HB 2891,Signed,Creating minimum statutory standards for law-enforcement officers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2891 SUB.pdf
HB 2892,Pending,Relating to the West Virginia State Guard and the organization thereof,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2892 INTR.pdf
HB 2893,Pending,Relating to Economic Opportunity Tax Credit limits,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2893 INTR.pdf
HB 2894,Pending,Relating to the criminal offense of desecration of graves and vandalizing cemeteries,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2894 INTR.pdf
HB 2895,Signed,Supplementing and amending the appropriations of public moneys to the Department of Veterans’ Assistance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2895 ENR.pdf
HB 2896,Signed,"Making a supplementary appropriation to the Department of Health and Human Resources, Division of Human Services",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2896 SUB ENR.pdf
HB 2897,Signed,Expiring funds to the balance of the Department of Commerce,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2897 ENR.pdf
HB 2898,Signed,Making a supplementary appropriation to WorkForce West Virginia – Workforce Investment Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2898 ENR.pdf
HB 2899,Signed,Making a supplementary appropriation to the Department of Commerce,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2899 ENR.pdf
HB 2900,Signed,Expiring funds to the balance of the Department of Education – State Board of Education – School Building Authority – School Construction Fund,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2900 INTR.pdf
HB 2901,Signed,"Making a supplementary appropriation to the Department of Health and Human Resources, Division of Human Services",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2901 ENR.pdf
HB 2902,Pending,Making a supplementary appropriation to the Public Service Commission,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2902 INTR.pdf
HB 2903,Signed,"Making a supplementary appropriation to the Department of Homeland Security, West Virginia State Police",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2903 INTR.pdf
HB 2904,Pending,Relating to unlawfully using electronic communication devices while driving,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2904 INTR.pdf
HB 2905,Signed,Relating to repealing the prohibition against the use of certain words,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2905 ENR.pdf
HB 2906,Signed,Relating to the School Building Authority’s allocation of money,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2906 ORG.pdf
HB 2907,Pending,"Prohibiting political subdivisions from enacting certain ordinances, regulations, local policies, local resolutions, or other legal requirements",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2907 INTR.pdf
HB 2908,Pending,Relating to disclosure of information by online marketplaces to inform consumers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2908 INTR.pdf
HB 2909,Pending,Updating the criteria used when assessing an application for a new license or other government regulation relating to occupational and professional regulation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2909 INTR.pdf
HB 2910,Pending,To modify the allowable number of magistrate judges per county,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2910 INTR.pdf
HB 2911,Pending,Relating to eligibility verification for applicants for public assistance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2911 INTR.pdf
HB 2912,Pending,"Relating to cannabis and cannabis product sales, growth, and consumption in this state",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2912 INTR.pdf
HB 2913,Pending,Social Media Integrity and Anti-Corruption in Elections Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2913 INTR.pdf
HB 2914,Signed,"To remove certain ex officio, voting members from the Archives and History Commission and update formatting",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2914 INTR.pdf
HB 2915,Signed,Relating to public records management and preservation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2915 ENR.pdf
HB 2916,Signed,Creating the Semiquincentennial Commission for the celebration of the 250th anniversary of the founding of the United States of America,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2916 SUB.pdf
HB 2917,Pending,Require anyone participating in high school or middle school sports to play per their biological birth gender,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2917 INTR.pdf
HB 2918,Signed,Relating to Family Drug Treatment Court,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2918 ORG.pdf
HB 2919,Pending,Protect privacy of those who store firearms in WV,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2919 INTR.pdf
HB 2920,Signed,"Making a supplementary appropriation to the Department of Health and Human Resources, Division of Health – Laboratory Services Fund",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2920 INTR.pdf
HB 2921,Pending,Permitting anyone over 65 to vote absentee,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2921 INTR.pdf
HB 2922,Pending,Adding Security expenses to campaign finance expense,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2922 INTR.pdf
HB 2923,Pending,Relating to Social Media privacy and educational institutions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2923 INTR.pdf
HB 2924,Pending,Relating to unemployment compensation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2924 INTR.pdf
HB 2925,Pending,Relating to data disposal protection,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2925 INTR.pdf
HB 2926,Pending,Relating to the Disconnection of Residential Utility during a State of Emergency ,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2926 INTR.pdf
HB 2927,Signed,Adding Caregiving expenses to campaign finance expense,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2927 SUB ENR.pdf
HB 2928,Pending,The purpose of this bill is to permit registered voters to vote an absentee ballot by mail in all circumstances,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2928 INTR.pdf
HB 2929,Pending,"Allowing the Secretary of State’s office to transmit electronically the total ballots cast, counted, and rejected",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2929 INTR.pdf
HB 2930,Pending,Require the School Improvement Council appoint two members to a Selection Committee ,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2930 INTR.pdf
HB 2931,Pending,Relating to standardizing the criteria for awarding spousal support,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2931 INTR.pdf
HB 2932,Pending,Protections for Charitable Organizations,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2932 INTR.pdf
HB 2933,Signed,Anti-Discrimination Against Israel Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2933 SUB ENR.pdf
HB 2934,Pending,Allow local governments to hold property owners more accountable for upkeep of buildings,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2934 INTR.pdf
HB 2935,Pending,Limit amount a county tax assessor can increase assessed value of antique or classic cars,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2935 INTR.pdf
HB 2936,Pending,To permit the Board of Treasury Investments to compensate appointed members for each meeting attended and to eliminate certain outdated and contradictory investment restrictions.,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2936 INTR.pdf
HB 2937,Pending,Requiring a vote on school closure or consolidation in certain circumstances,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2937 INTR.pdf
HB 2938,Pending,Reallocate a certain amount of net terminal income from racetrack video lottery distributed to the thoroughbred and greyhound development funds at the licensed racetracks of origin.,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2938 INTR.pdf
HB 2939,Pending,Clarify “out-of-school” time programs.,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2939 INTR.pdf
HB 2940,Signed,"Making a supplementary appropriation to the Department of Education, State Board of Education – State Department of Education",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2940 ENR.pdf
HB 2941,Signed,"Supplementary appropriation decreasing an existing item and adding a new item of appropriation to the Department of Revenue, Insurance Commissioner",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2941 ENR.pdf
HB 2942,Pending,Providing tax credits for hiring those in recovery for substance abuse,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2942 INTR.pdf
HB 2943,Pending,To unseal adoption records after 21 years of age for adoptees for a one time fee of $30 and issuance of an original birth certificate for the common birth certificate fee. ,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2943 INTR.pdf
HB 2944,Pending,Providing for the registration of lobbyist interns,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2944 INTR.pdf
HB 2945,Pending,To move back the deadline for a candidate to make a party switch to run in the GOP primary to 6 months before the filing date,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2945 INTR.pdf
HB 2946,Pending,Second Amendment Sanctuary Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2946 INTR.pdf
HB 2947,Pending,Regarding recording of police interrogations,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2947 INTR.pdf
HB 2948,Pending,Mandating coverage for medical care of State Police officers injured in the line of duty,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2948 INTR.pdf
HB 2949,Pending,Providing supplemental education through learning pods,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2949 INTR.pdf
HB 2950,Pending,Provide the Division of Motor Vehicles authority to develop an “Antique Fleet” program so that multiple antique motor vehicles may utilize a single registration plate,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2950 INTR.pdf
HB 2951,Pending,Repeal of authority granted to municipalities to levy business and occupation or privilege tax,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2951 INTR.pdf
HB 2952,Pending,Ensure that persons appointed as guardians ad litem in divorce and child custody and parenting cases are properly trained in certified courses of instruction with curricula grounded in the social science bases for determining the best interests of the child,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2952 INTR.pdf
HB 2953,Signed,To clarify that counties can hire fire fighters as paid staff and to modify the existing procedures to include a procedure of public hearing to commission a vote,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2953 SUB.pdf
HB 2954,Pending,Abortion permitted only in certain instances,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2954 INTR.pdf
HB 2955,Pending,Removing the residency requirement for the Commissioner of the Division of Highways,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2955 INTR.pdf
HB 2956,Pending,Permit licensed food trucks to operate on the State Capitol Complex during periods in which the Capitol Complex Cafeteria is not operational,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2956 INTR.pdf
HB 2957,Signed,Relating to the repeal of outdated code sections,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2957 ENR.pdf
HB 2958,Signed,Relating to repealing outdated sections of state code,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2958 ORG.pdf
HB 2959,Pending,Relating to the financing of environmental pollution control equipment for coal-fired power plants,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2959 SUB.pdf
HB 2960,Pending,"Eliminating the requirement that the Treasurer publish a full list of unclaimed property in newspapers, and instead require online database",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2960 INTR.pdf
HB 2961,Pending,Provide protections for employees in legal employment disputes by providing that no employee can be required as a condition of employment to agree to mandatory arbitration,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2961 INTR.pdf
HB 2962,Signed,Relating generally to dental practice,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2962 SUB ENG.pdf
HB 2963,Pending,Establish a website for publicly-available archive of all bridge and road naming resolutions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2963 INTR.pdf
HB 2964,Pending,Prohibit road signs that include public official’s name and likeness,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2964 INTR.pdf
HB 2965,Pending,"Requiring PEIA, Medicaid and other health insurance providers to cover treatment of pediatric autoimmune neuropsychiatric disorders",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2965 INTR.pdf
HB 2966,Pending,Make it unlawful for a political subdivision or municipality to pass or enforce an ordinance that would allow feral cats to be trapped and killed,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2966 INTR.pdf
HB 2967,Pending,Permitting certain felons to work in licensed behavioral health facilities,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2967 INTR.pdf
HB 2968,Pending,To allow Veterinarian Tele-Health in West Virginia,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2968 INTR.pdf
HB 2969,Signed,To clarify the procedures for the sale and operation of a municipally owned toll bridge by a private toll transportation facility,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2969 ENR.pdf
HB 2970,Pending,Raising retirement rate for Deputy Sheriff’s Retirement System,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2970 INTR.pdf
HB 2971,Pending,Requiring the Department of Commerce to conduct a feasibility study for potential lakes to be built in West Virginia,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2971 INTR.pdf
HB 2972,Pending,Allowing a person to manufacture a stated amount of alcoholic liquor for personal consumption ,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2972 SUB.pdf
HB 2973,Pending,To modify the teacher retirement system so that Tier 2 teachers may use annual/sick leave towards retirement,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2973 INTR.pdf
HB 2974,Pending,To implement a Property Tax Poverty Exemption - School Excess Levy,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2974 INTR.pdf
HB 2975,Pending,Relating to Well Location Restrictions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2975 INTR.pdf
HB 2976,Pending,Allow women to work on inmate road crews,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2976 INTR.pdf
HB 2977,Pending,Allow guns to be carried on capitol grounds ,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2977 INTR.pdf
HB 2978,Pending,Gun carry allowed on college campuses ,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2978 INTR.pdf
HB 2979,Pending,"Creating a tax credit for a manufacturer or power generating facility in West Virginia that purchases and uses coal, oil or gas",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2979 INTR.pdf
HB 2980,Pending,Amend Groundwater Protection Act to cover Karst Terrain,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2980 INTR.pdf
HB 2981,Pending,Providing veterans with suicide prevention assistance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2981 SUB.pdf
HB 2982,Signed,Relating to the Second Chances at Life Act of 2021,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2982 SUB.pdf
HB 2983,Pending,Permit licensed occupational therapy assistants to work as IDDW agency staff when working under the supervision of licensed occupational therapist.,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2983 INTR.pdf
HB 2984,Pending,To revise the West Virginia Tax Increment Financing Act to authorize a county commission or municipal levying body to modify the termination times of certain districts,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2984 INTR.pdf
HB 2985,Pending,Relating to instituting suit to set aside a sheriff sale deed to tender to the circuit clerk of the court funds for redemption,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2985 INTR.pdf
HB 2986,Pending,Establishing an alternative method for qualified persons to properties sold by tax sales,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2986 INTR.pdf
HB 2987,Pending,Allowing the purchaser to perform service on one or more persons entitled to notice of redemption from a sheriff sale,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2987 INTR.pdf
HB 2988,Pending,"Establishing causes for revocation, cancellation, or suspension of a business registration certificate",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2988 INTR.pdf
HB 2989,Pending,Requiring local entities to enforce immigration laws,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2989 INTR.pdf
HB 2990,Pending,Requiring that any municipality or county commission intending to approve a location for a video lottery retailer must first announce their intention to do so and hold a public hearing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2990 INTR.pdf
HB 2991,Pending,Relating to sheriff’s commission for collection of taxes,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2991 INTR.pdf
HB 2992,Pending,To create the “Tobacco Cessation Initiative Program Special Revenue Account”,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2992 INTR.pdf
HB 2993,Pending,Allow State Treasurer to charge a monthly penalty to certain spending units,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2993 INTR.pdf
HB 2994,Pending,Relating to the special community development school pilot program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2994 INTR.pdf
HB 2995,Pending,Create two readily identifiable pathways to better prepare high school students for their chosen career path,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2995 INTR.pdf
HB 2996,Pending,Creating the Independent Redistricting Commission,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2996 INTR.pdf
HB 2997,Signed,Adding a defense to the civil penalty imposed for a result of delivery of fuel to a state other than the destination state printed on the shipping document for fuel,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2997 INTR.pdf
HB 2998,Pending,Relating to unlawful discriminatory practices covered by Human Rights Act and Fair Housing Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2998 INTR.pdf
HB 2999,Pending,Relating to property ownership by Farmland Protection Board,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2999 INTR.pdf
HB 3000,Pending,To allow circuit court judges with at least six years of service to conceal carry if they so desire,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3000 INTR.pdf
HB 3001,Pending,Creating the Affordable Medicaid Buy-in Program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3001 INTR.pdf
HB 3002,Signed,Update road abandonment process,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3002 SUB.pdf
HB 3003,Pending,Relating to the definition of employer for sexual harassment purposes,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3003 INTR.pdf
HB 3004,Pending,To create the “Fair Food Delivery Act”,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3004 INTR.pdf
HB 3005,Pending,Relating to law enforcement warrant for third party information,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3005 INTR.pdf
HB 3006,Pending,Creating a homeless education coordinator for county schools,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3006 INTR.pdf
HB 3007,Pending,Create Pilot Program for Remote Workers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3007 INTR.pdf
HB 3008,Pending,Prohibit the removal of a state government facility in a small community without an impact study,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3008 INTR.pdf
HB 3009,Pending,Relating to the publication of county board financial statements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3009 SUB.pdf
HB 3010,Signed,To extend the special valuation method for cellular towers to towers owned by persons not subject to regulation by the Board of Public Works,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3010 ENG.pdf
HB 3011,Pending,Revised Uniform Fiduciary Access to Digital Assets Act\r\n,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3011 INTR.pdf
HB 3012,Pending,Creating a 529 type tax-deferred savings account for first time homebuyers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3012 INTR.pdf
HB 3013,Pending,Provide a state income tax credit for nurses to encourage recruitment and commitment to the profession in this state,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3013 INTR.pdf
HB 3014,Pending,Relating to limitations on claiming state tax credits and rebates and providing rulemaking authority,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3014 INTR.pdf
HB 3015,Pending,Creating crime of “high in public”,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3015 INTR.pdf
HB 3016,Pending,Require utility and cable companies that operate here to have call centers located in WV,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3016 INTR.pdf
HB 3017,Pending,Remove homeschool testing and portfolio requirements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3017 INTR.pdf
HB 3018,Pending,Providing for expungement of domestic violence pretrial diversions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3018 INTR.pdf
HB 3019,Pending,Creating the Campus Free Expression Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3019 INTR.pdf
HB 3020,Pending,Require photo identification on all EBT cards,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3020 INTR.pdf
HB 3021,Pending,To clarify that incomplete claims for refund are not filed and will not start interest accruing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3021 INTR.pdf
HB 3022,Pending,The Campus Self Defense Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3022 INTR.pdf
HB 3023,Pending,Places of worship may not be shut down by state of emergency,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3023 INTR.pdf
HB 3024,Pending,Prohibit abortions based on down syndrome,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3024 INTR.pdf
HB 3025,Pending,An affirmative defense to violation of a parenting plan is a de facto parenting plan,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3025 INTR.pdf
HB 3026,Pending,Prohibit businesses from having licenses revoked for not requiring masks,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3026 INTR.pdf
HB 3027,Pending,End qualified immunity,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3027 INTR.pdf
HB 3028,Pending,Right to travel bill,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3028 INTR.pdf
HB 3029,Pending,Relating to Seatbelt Admissibility,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3029 INTR.pdf
HB 3030,Pending,Relating to gross weight limitations and road restrictions in Greenbrier and Pocahontas Counties,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3030 ORG.pdf
HB 3031,Pending,Authorizing civil damages for any person who was subject to an intentionally false report made to law enforcement,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3031 INTR.pdf
HB 3032,Pending,Prohibiting discrimination based on an individual’s mental or physical disability in access to organ transplantation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3032 INTR.pdf
HB 3033,Pending,Youth Mental Health Protection Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3033 INTR.pdf
HB 3034,Pending,Sunsetting the Board of Medical Imaging and Radiation Therapy Technicians,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3034 INTR.pdf
HB 3035,Pending,Sunsetting the Board of Licensed Dieticians,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3035 INTR.pdf
HB 3036,Pending,Sunsetting the Board of Sanitarians,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3036 SUB.pdf
HB 3037,Pending,Hearing Enhancement Aid Reimbursement Act (HEAR),https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3037 INTR.pdf
HB 3038,Pending,Set the age for consent of marriage at 18 years of age,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3038 INTR.pdf
HB 3039,Pending,Exempting certain hygiene products from sales tax,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3039 INTR.pdf
HB 3040,Pending,"Ensure the health, safety, and welfare of homeless citizens of this state",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB3040 INTR.pdf
